Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2023-04-12 19:38:41,Supercharger Reward,ETH,0.00000351,,,EUR,0.005939164045415289796344446,0.00661836349002129667781566190994801,supercharger_reward_to_app_credited,
2023-04-12 07:10:21,Card Cashback,CRO,1.60822075,,,EUR,0.1,0.1114359435,referral_card_cashback,
2023-04-11 19:38:54,Supercharger Reward,ETH,0.00000351,,,EUR,0.00600125672853649923588758,0.0066875570573018816653816153723173,supercharger_reward_to_app_credited,
2023-04-11 12:34:40,Card Cashback,CRO,2.4363585,,,EUR,0.16,0.1782975096,referral_card_cashback,
2023-04-11 04:34:38,Card Cashback,CRO,10.89195564,,,EUR,0.7,0.7800516045,referral_card_cashback,
2023-04-10 19:41:28,Supercharger Reward,ETH,0.00000351,,,EUR,0.005974460156427408975867344,0.00665769604434645908486146209479064,supercharger_reward_to_app_credited,
2023-04-10 11:59:34,Card Cashback,CRO,6.85119484,,,EUR,0.43,0.47917455705,referral_card_cashback,
2023-04-09 19:30:56,Supercharger Reward,ETH,0.00000351,,,EUR,0.005847935058813330488628021,0.006516701608055914733775795406728135,supercharger_reward_to_app_credited,
2023-04-08 19:34:35,Supercharger Reward,ETH,0.00000351,,,EUR,0.005839014324144183842285738,0.00650676070321021956502566410623803,supercharger_reward_to_app_credited,
2023-04-07 19:33:19,Supercharger Reward,ETH,0.00000351,,,EUR,0.005867845191670805823462636,0.00653888865245774588342853279657066,supercharger_reward_to_app_credited,
2023-04-07 10:45:28,Card Cashback,CRO,16.31780727,,,EUR,1.04,1.1589338124,referral_card_cashback,
2023-04-07 01:09:17,Supercharger Reward,BTC,0.00000024,,,EUR,0.00605227879633745139642237,0.00674441397994908240745719325456095,supercharger_reward_to_app_credited,
2023-04-06 19:48:01,Card Cashback,CRO,3.13156641,,,EUR,0.2,0.222871887,referral_card_cashback,
